orig.ident	initial_cells	log1p_nCount_median	log1p_nCount_MAD	log1p_nCount_lower	log1p_nCount_upper	nCount_lower	nCount_upper	log1p_nFeature_median	log1p_nFeature_MAD	log1p_nFeature_lower	log1p_nFeature_upper	nFeature_lower	nFeature_upper	percent_mt_median	percent_mt_MAD	percent_mt_MAD_upper	mt_cutoff	hb_cutoff
CNP0000460_P01N	12987	8.14031554015999	0.814508037564212	5.69679142746735	10.5838396528526	296.91	39490.4571514886	7.3790081276283	0.558723647631805	5.70283718473289	9.05517907052372	298.716547016738	8561.77047612146	8.44189682126107	2.61207791776318	16.2781305745506	16.2781305745506	5
CNP0000460_P01T	10900	9.02177938856961	0.715120779219061	6.87641705091242	11.1671417262268	968.1477246712	70765.551119199	8.01532725445282	0.417429303931037	6.76303934265971	9.26761516624593	864.268049428074	10588.4676292005	8.40438972576251	3.29475131152834	18.2886436603475	18.2886436603475	5
CNP0000460_P02N	4372	8.15966069617699	0.488122061092137	6.69529451290057	9.6240268794534	807.592039933272	15122.8293181926	7.35308192051543	0.273936511204633	6.53127238690153	8.17489145412933	685.270858252868	3549.66949251421	4.15620548759573	1.68903820570383	9.22332010470723	9.22332010470723	5
CNP0000460_P02T	10006	8.25608813381491	0.630980985576009	6.36314517708688	10.1490310905429	579.067906631879	25565.3187541446	7.34794382314869	0.441510742937986	6.02341159433473	8.67247605196264	411.985132834937	5838.94146095316	10.7577476989189	4.25067464181388	23.5097716243605	23.5097716243605	5
CNP0000460_P03N	5911	8.36822903827628	0.571759795190221	6.65294965270562	10.0835084238469	774.067136005739	23943.8470175654	7.46221493976819	0.400667094873302	6.26021365514828	8.66421622438809	522.330740471171	5790.90321835676	6.65035587188612	2.43224887600135	13.9471024998902	13.9471024998902	5
CNP0000460_P03T	5410	7.99917508297862	0.55814803442518	6.32473097970308	9.67361918625416	557.207624283068	15891.763935989	7.19406133474772	0.379518437487765	6.05550602228443	8.33261664721102	425.454646419522	4156.28147151181	7.13435768389552	2.47955706031857	14.5730288648512	14.5730288648512	5
CNP0000460_P04T	12294	8.17329343896623	0.660675894291717	6.19126575609108	10.1553211218414	487.463991358336	25726.6385206066	7.35755620091035	0.458841666580365	5.98103120116926	8.73408120065145	394.848357048496	6210.0248943102	9.09090909090909	3.95601708301794	20.9589603399629	20.9589603399629	5
CNP0000460_P05N	4615	7.62168499872461	0.47648886372744	6.19221840754229	9.05115158990693	487.929549010448	8527.35343750291	7.03174125876313	0.358443290995474	5.95641138577671	8.10707113174955	385.221633901035	3316.84625075754	5.56088207094918	2.42166460052152	12.8258758725138	12.8258758725138	5
CNP0000460_P05T	9674	8.34021732094704	0.712672930458532	6.20219852957144	10.4782361123226	492.833556163788	35532.6748201453	7.59664337110437	0.492992453970666	6.11766600919237	9.07562073301637	452.804282461207	8738.60901931117	7.62812634004149	3.09947933939659	16.9265643582312	16.9265643582312	5
CNP0000460_P06T	8960	7.7942051476153	0.569836864306764	6.08469455469501	9.50371574053559	438.085675530266	13408.4604495795	7.08673793451058	0.413238606441545	5.84702211518594	8.32645375383521	345.201894565239	4130.73937651704	10.068506006006	2.97536344843946	18.9945963513244	18.9945963513244	5
CNP0000460_P07N	4583	8.17046857833067	0.777205483566836	5.83885212763017	10.5020850290312	342.384952255581	36390.3005445245	7.32778053842163	0.566537525419992	5.62816796216165	9.02739311468161	277.152065449533	8327.12079340931	8.17888799355359	3.25147028756299	17.9332988562426	17.9332988562426	5
CNP0000460_P07T	4876	8.47689184586541	0.73083410742559	6.28438952358864	10.6693941681422	535.136891787331	43017.8713988903	7.59312224048305	0.502019027591158	6.08706515770958	9.09917932325653	439.127808109608	8946.94631794597	9.2278725268659	3.30331896491856	19.1378294216216	19.1378294216216	5
GSE222315_p1_BCa	8707	8.30943074214033	0.660214422319697	6.32878747518124	10.2900740090994	559.47658989988	29437.9530220119	7.51152464839087	0.445911284793149	6.17379079401142	8.84925850277031	479.002251257831	6968.2193968547	1.39603232916973	0.515459957127901	2.94241220055343	2.94241220055343	5
