orig.ident	dataset	n_cells_preQC	n_cells	expected_rate	pN	chosen_pK	nExp_poi	homotypic.prop	nExp_adj	homotypic_source	preliminary_HVG	preliminary_PCs	preliminary_resolution	JoinLayers_applied	warning_count	elapsed_seconds
CNP0000460_P01N	CNP0000460	12987	12987	0.08	0.25	0.04	1039	0.102021174205967	933	reconstructed_from_rounded_nExp_adj_after_interrupted_parent_run	NA	1:30	0.8	TRUE	0	NA
CNP0000460_P01T	CNP0000460	10900	10900	0.08	0.25	0.17	872	0.103211009174312	782	reconstructed_from_rounded_nExp_adj_after_interrupted_parent_run	NA	1:30	0.8	TRUE	0	NA
CNP0000460_P02N	CNP0000460	4372	4372	0.034976	0.25	0.3	153	0.065359477124183	143	reconstructed_from_rounded_nExp_adj_after_interrupted_parent_run	NA	1:30	0.8	TRUE	0	NA
CNP0000460_P02T	CNP0000460	10006	10006	0.08	0.25	0.02	800	0.145	684	reconstructed_from_rounded_nExp_adj_after_interrupted_parent_run	NA	1:30	0.8	TRUE	0	NA
CNP0000460_P03N	CNP0000460	5911	5911	0.047288	0.25	0.29	280	0.0821428571428572	257	reconstructed_from_rounded_nExp_adj_after_interrupted_parent_run	NA	1:30	0.8	TRUE	0	NA
CNP0000460_P03T	CNP0000460	5410	5410	0.04328	0.25	0.3	234	0.0897435897435898	213	reconstructed_from_rounded_nExp_adj_after_interrupted_parent_run	NA	1:30	0.8	TRUE	0	NA
CNP0000460_P04T	CNP0000460	12294	12294	0.08	0.25	0.3	984	0.0975609756097561	888	reconstructed_from_rounded_nExp_adj_after_interrupted_parent_run	NA	1:30	0.8	TRUE	0	NA
CNP0000460_P05N	CNP0000460	4615	4615	0.03692	0.25	0.3	170	0.0882352941176471	155	reconstructed_from_rounded_nExp_adj_after_interrupted_parent_run	NA	1:30	0.8	TRUE	0	NA
CNP0000460_P05T	CNP0000460	9674	9674	0.077392	0.25	0.02	749	0.0881174899866488	683	reconstructed_from_rounded_nExp_adj_after_interrupted_parent_run	NA	1:30	0.8	TRUE	0	NA
CNP0000460_P06T	CNP0000460	8960	8960	0.07168	0.25	0.19	642	0.11214953271028	570	reconstructed_from_rounded_nExp_adj_after_interrupted_parent_run	NA	1:30	0.8	TRUE	0	NA
CNP0000460_P07N	CNP0000460	4583	4583	0.036664	0.25	0.16	168	0.0952380952380952	152	reconstructed_from_rounded_nExp_adj_after_interrupted_parent_run	NA	1:30	0.8	TRUE	0	NA
CNP0000460_P07T	CNP0000460	4876	4876	0.039008	0.25	0.14	190	0.0842105263157895	174	reconstructed_from_rounded_nExp_adj_after_interrupted_parent_run	NA	1:30	0.8	TRUE	0	NA
